graph,nodes,edges,algorithm,stress,time_seconds
Path 30,30,29,Brute force,0.3883216381072998,0.5689899279968813
Path 30,30,29,Spring layout,0.004305298732714116,0.4437621000033687
Path 30,30,29,Kamada-Kawai,0.00738025761407163,0.2542751319997478
Path 30,30,29,Batched PSO,6.167859822880928e-08,67.08653208200121
Cycle 30,30,30,Brute force,0.34406742453575134,0.20553122799901757
Cycle 30,30,30,Spring layout,0.02910635005629809,0.4462585220026085
Cycle 30,30,30,Kamada-Kawai,0.030604904593476995,0.002301565997186117
Cycle 30,30,30,Batched PSO,0.0024169760290533304,66.59579706600198
Grid 8x8,64,112,Brute force,0.385123610496521,0.23895441900094738
Grid 8x8,64,112,Spring layout,0.006737271380770398,1.1138447199991788
Grid 8x8,64,112,Kamada-Kawai,0.00782025319430921,0.03250441799900727
Grid 8x8,64,112,Batched PSO,0.00547174783423543,74.47152911699959
Caveman 8x8,64,224,Brute force,0.46495386958122253,0.2398541149959783
Caveman 8x8,64,224,Spring layout,0.02562306910969839,1.1051224219991127
Caveman 8x8,64,224,Kamada-Kawai,0.013462092029193776,0.021751479005615693
Caveman 8x8,64,224,Batched PSO,0.005630789324641228,74.27348787400115
Karate Club,34,78,Brute force,0.21232660114765167,0.20773175099748187
Karate Club,34,78,Spring layout,0.11421532341785674,0.501041649004037
Karate Club,34,78,Kamada-Kawai,0.06776540446537606,0.03209484300168697
Karate Club,34,78,Batched PSO,0.029316531494259834,66.55735922299937
Barbasi Albert 150x3,150,441,Brute force,0.29122310876846313,0.3669700919999741
Barbasi Albert 150x3,150,441,Spring layout,0.11604195481938331,4.776549522997811
Barbasi Albert 150x3,150,441,Kamada-Kawai,0.10632552372785757,0.16107419199397555
Barbasi Albert 150x3,150,441,Batched PSO,0.10710886120796204,88.90179422200163
Balanced Tree 4x4,341,340,Brute force,0.3946410119533539,0.783860009003547
Balanced Tree 4x4,341,340,Spring layout,0.14375278782022743,23.628759437000554
Balanced Tree 4x4,341,340,Kamada-Kawai,0.0910141647189559,1.5598781329972553
Balanced Tree 4x4,341,340,Batched PSO,0.08165082335472107,132.5962023030006
